-30.165722,-51.15458,"Ciclovia - Restinga"
-30.165519,-51.15431,"Ciclovia - Restinga"
-30.165264,-51.15402,"Ciclovia - Restinga"
-30.165174,-51.15389,"Ciclovia - Restinga"
-30.165112,-51.15377,"Ciclovia - Restinga"
-30.165045,-51.15359,"Ciclovia - Restinga"
-30.164848,-51.15296,"Ciclovia - Restinga"
-30.164023,-51.15154,"Ciclovia - Restinga"
-30.163747,-51.1511,"Ciclovia - Restinga"
-30.163477,-51.150887,"Ciclovia - Restinga"
-30.162816,-51.15026,"Ciclovia - Restinga"
-30.161563,-51.14909,"Ciclovia - Restinga"
-30.161281,-51.14887,"Ciclovia - Restinga"
-30.160551,-51.148414,"Ciclovia - Restinga"
-30.16019,-51.14811,"Ciclovia - Restinga"
-30.159223,-51.14709,"Ciclovia - Restinga"
-30.158735,-51.14633,"Ciclovia - Restinga"
-30.158259,-51.145685,"Ciclovia - Restinga"
-30.157338,-51.14469,"Ciclovia - Restinga"
-30.156853,-51.14413,"Ciclovia - Restinga"
-30.156397,-51.14365,"Ciclovia - Restinga"
-30.156204,-51.1434,"Ciclovia - Restinga"
-30.15609,-51.14323,"Ciclovia - Restinga"
-30.155824,-51.1426,"Ciclovia - Restinga"
-30.155452,-51.14166,"Ciclovia - Restinga"
-30.155265,-51.140962,"Ciclovia - Restinga"
-30.154792,-51.13895,"Ciclovia - Restinga"
-30.154715,-51.13867,"Ciclovia - Restinga"
-30.154655,-51.1385,"Ciclovia - Restinga"
-30.154539,-51.138236,"Ciclovia - Restinga"
-30.154209,-51.13764,"Ciclovia - Restinga"
-30.154107,-51.13745,"Ciclovia - Restinga"
-30.153256,-51.13576,"Ciclovia - Restinga"
-30.153026,-51.1354,"Ciclovia - Restinga"
-30.152804,-51.13527,"Ciclovia - Restinga"
-30.152668,-51.1352,"Ciclovia - Restinga"
-30.15234,-51.13515,"Ciclovia - Restinga"
-30.151827,-51.1349,"Ciclovia - Restinga"
-30.15177,-51.13485,"Ciclovia - Restinga"
-30.151629,-51.13466,"Ciclovia - Restinga"
-30.151331,-51.1341,"Ciclovia - Restinga"
-30.150985,-51.13356,"Ciclovia - Restinga"
-30.150822,-51.13338,"Ciclovia - Restinga"
-30.030664,-51.206339,"Ciclovia - Restinga"
-30.027767,-51.20832,"Bar da Lola"
